
09/15/2016 17:00, 68.0, 0, 0.00, 47, 47, 0, 
09/15/2016 16:00, 70.0, 0, 0.00, 51, 51, 0, 
09/15/2016 15:00, 69.0, 0, 0.00, 48, 48, 0, 
09/15/2016 14:00, 68.0, 0, 0.00, 54, 51, 0, 
09/15/2016 13:00, 66.0, 0, 0.00, 60, 52, 0, 
09/15/2016 12:00, 63.0, 0, 0.00, 69, 53, 0, 
09/15/2016 11:00, 61.0, 0, 0.00, 79, 54, 0, 
09/15/2016 10:00, 60.0, 0, 0.00, 97, 59, 60, 
09/15/2016 09:00, 55.0, 7, 0.00, 100, 55, 60, 
09/15/2016 08:00, 49.0, 0, 0.00, 100, 49, 60, 
09/15/2016 07:00, 43.0, 0, 0.00, 100, 43, 60, 
09/15/2016 06:00, 44.0, 0, 0.00, 100, 44, 60, 
09/15/2016 05:00, 44.0, 0, 0.00, 100, 44, 60, 
09/15/2016 04:00, 50.0, 0, 0.00, 100, 50, 60, 
09/15/2016 03:00, 49.0, 0, 0.00, 100, 49, 60, 
09/15/2016 02:00, 50.0, 0, 0.00, 100, 50, 60, 
09/15/2016 01:00, 48.0, 0, 0.00, 100, 48, 60, 
09/15/2016 00:00, 48.0, 0, 0.00, 100, 48, 60, 
09/13/2016 23:00, 64.0, 0, 0.00, 100, 64, 60, 
09/13/2016 22:00, 65.0, 0, 0.00, 96, 64, 60, 
09/13/2016 21:00, 68.0, 0, 0.00, 86, 64, 0, 
09/13/2016 20:00, 70.0, 0, 0.00, 82, 64, 0, 
09/13/2016 19:00, 73.0, 0, 0.00, 77, 65, 0, 
09/13/2016 18:00, 80.0, 0, 0.00, 62, 66, 0, 
09/13/2016 17:00, 81.0, 0, 0.00, 62, 67, 0, 
09/13/2016 16:00, 80.0, 0, 0.00, 65, 67, 0, 
09/13/2016 15:00, 79.0, 0, 0.00, 66, 67, 0, 
09/13/2016 14:00, 80.0, 0, 0.00, 64, 67, 0, 
09/13/2016 13:00, 78.0, 0, 0.00, 67, 66, 0, 
09/13/2016 12:00, 76.0, 0, 0.00, 72, 66, 0, 
09/13/2016 11:00, 73.0, 0, 0.00, 81, 67, 0, 
09/13/2016 10:00, 68.0, 0, 0.00, 88, 64, 0, 
09/13/2016 09:00, 64.0, 0, 0.00, 93, 62, 60, 
09/13/2016 08:00, 60.0, 0, 0.00, 100, 60, 60, 
09/13/2016 07:00, 57.0, 0, 0.00, 100, 57, 60, 
09/13/2016 06:00, 57.0, 0, 0.00, 100, 57, 60, 
09/13/2016 05:00, 56.0, 0, 0.00, 100, 56, 60, 
09/13/2016 04:00, 56.0, 0, 0.00, 100, 56, 60, 
09/13/2016 03:00, 55.0, 0, 0.00, 100, 55, 60, 
09/13/2016 02:00, 55.0, 0, 0.00, 100, 55, 60, 
09/13/2016 01:00, 55.0, 0, 0.00, 100, 55, 60, 
09/13/2016 00:00, 56.0, 0, 0.00, 100, 56, 60, 
09/11/2016 23:00, 51.0, 0, 0.00, 100, 51, 60, 
09/11/2016 22:00, 51.0, 0, 0.00, 100, 51, 60, 
09/11/2016 21:00, 52.0, 0, 0.00, 100, 52, 60, 
09/11/2016 20:00, 54.0, 0, 0.00, 100, 54, 60, 
09/11/2016 19:00, 61.0, 0, 0.00, 77, 54, 0, 
09/11/2016 18:00, 68.0, 0, 0.00, 66, 56, 0, 
09/11/2016 17:00, 71.0, 0, 0.00, 62, 57, 0, 
09/11/2016 16:00, 71.0, 0, 0.00, 65, 59, 0, 
09/11/2016 15:00, 72.0, 0, 0.00, 61, 58, 0, 
09/11/2016 14:00, 71.0, 0, 0.00, 61, 57, 0, 
09/11/2016 13:00, 69.0, 0, 0.00, 64, 56, 0, 
09/11/2016 12:00, 67.0, 0, 0.00, 78, 60, 0, 
09/11/2016 11:00, 67.0, 0, 0.00, 83, 62, 0, 
09/11/2016 10:00, 65.0, 0, 0.00, 95, 64, 60, 
09/11/2016 09:00, 60.0, 0.00, 100, 60, 60, 
09/11/2016 08:00, 60.0, 24, 0.00, 100, 60, 60, 
09/11/2016 07:00, 58.0, 58, 0.00, 100, 58, 60, 
